State,Total population,Number in poverty,Margin of error (±) (34),Percent in poverty,Margin of error (±) (34),Year
Oklahoma,"3,7",668,76,18.0,2.1,2012
Oregon,"3,872",523,66,13.5,1.6,2012
Pennsylvania,"12,66","1,756",183,13.9,1.5,2012
Rhode Island,"1,034",141,20,13.6,1.8,2012
South Carolina,"4,667",779,104,16.7,2.3,2012
South Dakota,822,106,18,12.8,2.1,2012
Tennessee,"6,422","1,194",194,18.6,3.1,2012
Texas,"26,06","4,444",316,17.0,1.2,2012
Utah,"2,849",312,74,11.0,2.6,2012
Vermont,615,69,12,11.2,1.8,2012
Virginia,"7,994",850,146,10.6,1.8,2012
Washington,"6,856",796,95,11.6,1.5,2012
West Virginia,"1,803",301,66,16.7,3.6,2012
Wisconsin,"5,628",640,81,11.4,1.5,2012
Wyoming,577,56,12,9.6,2.0,2012
Alabama,"4,765",732,122,15.4,2.5,2011
Alaska,712,83,15,11.7,2.1,2011
Arizona,"6,547","1,128",176,17.2,2.8,2011
Arkansas,"2,909",545,76,18.7,2.6,2011
California,"37,59","6,352",332,16.9,1.0,2011
Colorado,"5,016",661,89,13.2,1.8,2011
Connecticut,"3,514",356,54,10.1,1.5,2011
Delaware,902,123,15,13.7,1.6,2011
District of Columbia,619,123,15,19.9,2.3,2011
Florida,"18,99","2,822",224,14.9,1.2,2011
Georgia,"9,681","1,783",201,18.4,2.1,2011
Hawaii,"1,337",162,30,12.1,2.3,2011
Idaho,"1,574",248,43,15.7,2.8,2011
Illinois,"12,7","1,807",179,14.2,1.5,2011
Indiana,"6,344",989,137,15.6,2.1,2011
Iowa,"3,027",315,39,10.4,1.3,2011
Kansas,"2,807",402,53,14.3,2.0,2011
Kentucky,"4,302",689,99,16.0,2.3,2011
Louisiana,"4,494",947,123,21.1,2.6,2011
Maine,"1,328",178,23,13.4,1.8,2011
Maryland,"5,806",537,71,9.3,1.3,2011
Massachusetts,"6,514",688,90,10.6,1.5,2011
Michigan,"9,689","1,449",165,15.0,1.6,2011
Minnesota,"5,276",528,76,10.0,1.5,2011
Mississippi,"2,932",510,66,17.4,2.3,2011
Missouri,"5,892",910,161,15.4,2.8,2011
Montana,986,163,26,16.5,2.6,2011
Nebraska,"1,823",187,36,10.2,2.1,2011
Nevada,"2,682",414,56,15.5,2.1,2011
New Hampshire,"1,3",99,20,7.6,1.5,2011
New Jersey,"8,642",988,125,11.4,1.5,2011
New Mexico,"2,037",451,59,22.2,3.0,2011
New York,"19,33","3,085",237,16.0,1.2,2011
North Carolina,"9,504","1,459",214,15.4,2.3,2011
North Dakota,675,67,16,9.9,2.3,2011
Ohio,"11,31","1,708",212,15.1,2.0,2011
Oklahoma,"3,763",522,77,13.9,2.0,2011
Oregon,"3,85",553,84,14.4,2.1,2011
Pennsylvania,"12,7","1,604",174,12.6,1.3,2011
Rhode Island,"1,038",139,16,13.4,1.6,2011
South Carolina,"4,605",874,105,19.0,2.3,2011
South Dakota,808,117,33,14.5,4.1,2011
Tennessee,"6,324","1,03",171,16.3,2.8,2011
Texas,"25,55","4,458",322,17.4,1.3,2011
Utah,"2,812",309,48,11.0,1.6,2011
Vermont,615,71,10,11.6,1.6,2011
Virginia,"7,971",907,115,11.4,1.5,2011
Washington,"6,812",854,122,12.5,1.8,2011
West Virginia,"1,82",318,56,17.5,3.0,2011
Wisconsin,"5,676",743,99,13.1,1.8,2011
Wyoming,562,60,13,10.7,2.3,2011
Alabama,"4,717",812,137,17.2,3.0,2010
Alaska,695,87,16,12.5,2.5,2010
Arizona,"6,426","1,208",178,18.8,2.8,2010
Arkansas,"2,879",440,74,15.3,2.6,2010
California,"37,24","6,073",349,16.3,1.0,2010
Colorado,"4,995",615,89,12.3,1.8,2010
Connecticut,"3,541",303,44,8.6,1.3,2010
Delaware,890,109,16,12.2,1.8,2010
District of Columbia,604,118,13,19.5,2.1,2010
Florida,"18,76","3,006",209,16.0,1.2,2010
Georgia,"9,65","1,814",171,18.8,1.8,2010
Hawaii,"1,311",162,25,12.4,2.0,2010
Idaho,"1,543",213,38,13.8,2.5,2010
Illinois,"12,78","1,798",166,14.1,1.3,2010
Indiana,"6,39","1,041",156,16.3,2.5,2010
Iowa,"2,977",307,49,10.3,1.6,2010
Kansas,"2,766",400,64,14.5,2.3,2010
Kentucky,"4,27",754,107,17.7,2.6,2010
Louisiana,"4,418",949,114,21.5,2.6,2010
Maine,"1,298",164,25,12.6,2.0,2010
Maryland,"5,786",628,82,10.9,1.5,2010
Massachusetts,"6,532",711,112,10.9,1.8,2010
Michigan,"9,751","1,53",181,15.7,1.8,2010
Minnesota,"5,217",563,71,10.8,1.3,2010
Mississippi,"2,92",658,72,22.5,2.5,2010
Missouri,"5,929",890,130,15.0,2.3,2010
Montana,979,142,28,14.5,3.0,2010
Nebraska,"1,804",184,33,10.2,2.0,2010
Nevada,"2,696",446,58,16.6,2.1,2010
New Hampshire,"1,294",84,13,6.5,1.2,2010
New Jersey,"8,733",966,146,11.1,1.6,2010
New Mexico,"2,033",372,49,18.3,2.5,2010
New York,"19,12","3,062",242,16.0,1.3,2010
North Carolina,"9,359","1,633",148,17.4,1.6,2010
North Dakota,653,82,10,12.6,1.5,2010
Ohio,"11,34","1,746",194,15.4,1.8,2010
Oklahoma,"3,697",603,102,16.3,2.8,2010
Oregon,"3,752",537,72,14.3,2.0,2010
Pennsylvania,"12,53","1,535",138,12.2,1.2,2010
Rhode Island,"1,042",146,18,14.0,1.6,2010
South Carolina,"4,563",773,87,16.9,2.0,2010
South Dakota,799,109,15,13.6,1.8,2010
Tennessee,"6,315","1,052",140,16.7,2.1,2010
Texas,"25,2","4,633",322,18.4,1.3,2010
Utah,"2,768",278,49,10.0,1.8,2010
Vermont,624,67,12,10.8,1.8,2010
Virginia,"7,837",835,120,10.7,1.5,2010
Washington,"6,713",779,120,11.6,1.8,2010
West Virginia,"1,816",306,38,16.8,2.1,2010
Wisconsin,"5,626",567,86,10.1,1.5,2010
Wyoming,550,53,8,9.6,1.5,2010
Alabama,"4,655",770,99,16.6,2.1,2009
Alaska,688,81,13,11.7,2.0,2009
Arizona,"6,508","1,381",138,21.2,2.1,2009
Arkansas,"2,846",538,66,18.9,2.3,2009
California,"36,74","5,638",291,15.3,0.8,2009
Colorado,"4,969",613,95,12.3,2.0,2009
Connecticut,"3,472",292,58,8.4,1.6,2009
Delaware,883,109,18,12.3,2.0,2009
District of Columbia,595,107,15,17.9,2.5,2009
Florida,"18,39","2,676",191,14.6,1.0,2009
Georgia,"9,657","1,775",150,18.4,1.5,2009
Hawaii,"1,25",156,23,12.5,2.0,2009
Idaho,"1,524",209,31,13.7,2.0,2009
Illinois,"12,76","1,69",155,13.2,1.2,2009
Indiana,"6,342","1,023",115,16.1,1.8,2009
Iowa,"2,987",319,56,10.7,1.8,2009
Kansas,"2,737",374,58,13.7,2.1,2009
Kentucky,"4,276",727,95,17.0,2.3,2009
Louisiana,"4,45",636,90,14.3,2.0,2009
Maine,"1,297",148,26,11.4,2.1,2009
Maryland,"5,662",543,89,9.6,1.6,2009
Massachusetts,"6,623",717,99,10.8,1.5,2009
Michigan,"9,797","1,376",137,14.0,1.3,2009
Minnesota,"5,2",576,89,11.1,1.6,2009
Mississippi,"2,847",658,72,23.1,2.5,2009
Missouri,"5,963",926,112,15.5,1.8,2009
Montana,971,131,20,13.5,2.0,2009
Nebraska,"1,778",176,33,9.9,1.8,2009
Nevada,"2,629",343,53,13.0,2.0,2009
New Hampshire,"1,313",103,21,7.8,1.6,2009
New Jersey,"8,66",806,109,9.3,1.3,2009
New Mexico,"1,971",381,51,19.3,2.6,2009
New York,"19,16","3,018",206,15.8,1.2,2009
North Carolina,"9,336","1,576",145,16.9,1.5,2009
North Dakota,632,69,12,10.9,1.8,2009
Ohio,"11,44","1,526",143,13.3,1.3,2009
Oklahoma,"3,632",468,72,12.9,2.0,2009
Oregon,"3,821",510,81,13.4,2.1,2009
Pennsylvania,"12,4","1,376",138,11.1,1.2,2009
Rhode Island,"1,03",134,23,13.0,2.1,2009
South Carolina,"4,501",618,90,13.7,2.0,2009
South Dakota,799,113,15,14.1,2.0,2009
Tennessee,"6,24","1,031",115,16.5,1.8,2009
Texas,"24,63","4,262",253,17.3,1.0,2009
Utah,"2,794",270,43,9.7,1.5,2009
Vermont,617,58,12,9.4,1.8,2009
Virginia,"7,767",831,107,10.7,1.3,2009
Washington,"6,697",781,107,11.7,1.6,2009
West Virginia,"1,801",285,36,15.8,2.0,2009
Wisconsin,"5,545",599,92,10.8,1.6,2009
Wyoming,540,50,10,9.2,1.8,2009
Alabama,"4,716",675,94,14.3,2.0,2008
Alaska,672,55,12,8.2,1.6,2008
Arizona,"6,529","1,172",130,18.0,2.0,2008
Arkansas,"2,822",431,59,15.3,2.1,2008
California,"36,64","5,344",286,14.6,0.8,2008
Colorado,"4,908",541,90,11.0,1.8,2008
Connecticut,"3,433",276,56,8.1,1.6,2008
Delaware,861,82,15,9.6,1.8,2008
District of Columbia,590,98,15,16.5,2.5,2008
Florida,"18,02","2,37",181,13.1,1.0,2008
Georgia,"9,541","1,477",138,15.5,1.5,2008
Hawaii,"1,255",125,21,9.9,1.8,2008
Idaho,"1,515",185,30,12.2,2.0,2008
Illinois,"12,69","1,564",148,12.3,1.2,2008
Indiana,"6,288",901,109,14.3,1.8,2008
Iowa,"2,986",285,53,9.5,1.8,2008
Kansas,"2,716",346,56,12.7,2.1,2008
Kentucky,"4,246",724,95,17.1,2.3,2008
Louisiana,"4,326",788,99,18.2,2.3,2008
Maine,"1,317",158,28,12.0,2.1,2008
Maryland,"5,528",481,84,8.7,1.5,2008
Massachusetts,"6,42",727,99,11.3,1.5,2008
Michigan,"9,806","1,273",132,13.0,1.3,2008
Minnesota,"5,12",506,84,9.9,1.6,2008
Mississippi,"2,9",525,66,18.1,2.3,2008
Missouri,"5,861",780,104,13.3,1.8,2008
Montana,973,125,20,12.9,2.0,2008
Nebraska,"1,774",188,33,10.6,1.8,2008
Nevada,"2,581",278,49,10.8,2.0,2008
New Hampshire,"1,3",91,20,7.0,1.6,2008
New Jersey,"8,515",787,107,9.2,1.3,2008
New Mexico,"1,977",381,51,19.3,2.6,2008
New York,"19,31","2,734",197,14.2,1.0,2008
North Carolina,"9,234","1,285",132,13.9,1.5,2008
North Dakota,625,74,12,11.8,2.0,2008
Ohio,"11,39","1,557",145,13.7,1.3,2008
Oklahoma,"3,55",484,74,13.6,2.1,2008
Oregon,"3,806",403,72,10.6,2.0,2008
Pennsylvania,"12,18","1,335",137,11.0,1.2,2008
Rhode Island,"1,042",132,23,12.7,2.1,2008
South Carolina,"4,462",624,90,14.0,2.0,2008
South Dakota,794,104,15,13.1,1.8,2008
Tennessee,"6,163",924,110,15.0,1.8,2008
Texas,"24,17","3,834",243,15.9,1.0,2008
Utah,"2,754",209,38,7.6,1.5,2008
Vermont,610,55,12,9.0,1.8,2008
Virginia,"7,735",799,105,10.3,1.3,2008
Washington,"6,526",680,100,10.4,1.5,2008
West Virginia,"1,796",260,35,14.5,2.0,2008
Wisconsin,"5,548",544,87,9.8,1.6,2008
Wyoming,529,54,10,10.1,2.0,2008
Alabama,"4,566",662,92,14.5,2.0,2007
Alaska,675,51,12,7.6,1.6,2007
Arizona,"6,365",912,117,14.3,1.8,2007
Arkansas,"2,803",387,58,13.8,2.0,2007
California,"36,25","4,589",268,12.7,0.8,2007
Colorado,"4,872",478,86,9.8,1.8,2007
Connecticut,"3,471",309,59,8.9,1.6,2007
Delaware,861,80,15,9.3,1.8,2007
District of Columbia,580,104,15,18.0,2.6,2007
Florida,"18,04","2,25",178,12.5,1.0,2007
Georgia,"9,486","1,294",132,13.6,1.3,2007
Hawaii,"1,264",94,20,7.5,1.5,2007
Idaho,"1,501",149,26,9.9,1.8,2007
Illinois,"12,68","1,262",135,10.0,1.2,2007
Indiana,"6,258",740,100,11.8,1.6,2007
Iowa,"2,965",264,51,8.9,1.8,2007
Kansas,"2,72",319,54,11.7,2.0,2007
Kentucky,"4,202",653,90,15.5,2.1,2007
Louisiana,"4,186",673,92,16.1,2.1,2007
Maine,"1,312",142,26,10.9,2.0,2007
Maryland,"5,56",491,86,8.8,1.5,2007
Massachusetts,"6,336",707,97,11.2,1.5,2007
Michigan,"9,919","1,076",122,10.8,1.3,2007
Minnesota,"5,188",482,82,9.3,1.6,2007
Mississippi,"2,895",655,72,22.6,2.5,2007
Missouri,"5,783",742,102,12.8,1.8,2007
Montana,938,122,20,13.0,2.0,2007
Nebraska,"1,751",174,33,9.9,1.8,2007
Nevada,"2,566",250,46,9.7,1.8,2007
New Hampshire,"1,312",76,18,5.8,1.5,2007
New Jersey,"8,548",742,104,8.7,1.2,2007
New Mexico,"1,941",271,44,14.0,2.3,2007
New York,"19,02","2,757",199,14.5,1.0,2007
North Carolina,"9,17","1,423",138,15.5,1.5,2007
North Dakota,614,57,12,9.3,1.8,2007
Ohio,"11,28","1,446",140,12.8,1.3,2007
Oklahoma,"3,551",476,72,13.4,2.1,2007
Oregon,"3,761",481,77,12.8,2.1,2007
Pennsylvania,"12,3","1,273",133,10.4,1.2,2007
Rhode Island,"1,042",99,20,9.5,1.8,2007
South Carolina,"4,38",617,89,14.1,2.0,2007
South Dakota,787,74,13,9.4,1.6,2007
Tennessee,"6,137",906,109,14.8,1.8,2007
Texas,"23,65","3,903",243,16.5,1.0,2007
Utah,"2,651",255,43,9.6,1.6,2007
Vermont,613,61,12,9.9,2.0,2007
Virginia,"7,678",664,97,8.6,1.3,2007
Washington,"6,503",661,99,10.2,1.5,2007
West Virginia,"1,793",265,36,14.8,2.0,2007
Wisconsin,"5,458",601,92,11.0,1.6,2007
Wyoming,518,56,10,10.9,2.0,2007
Alabama,"4,532",650,92,14.3,2.0,2006
Alaska,658,58,12,8.9,1.8,2006
Arizona,"6,256",902,117,14.4,1.8,2006
Arkansas,"2,748",487,63,17.7,2.3,2006
California,"36,16","4,427",263,12.2,0.7,2006
Colorado,"4,797",466,86,9.7,1.8,2006
Connecticut,"3,457",275,56,8.0,1.6,2006
Delaware,858,80,15,9.3,1.8,2006
District of Columbia,569,104,15,18.3,2.6,2006
Florida,"18,03","2,068",171,11.5,1.0,2006
Georgia,"9,334","1,172",125,12.6,1.3,2006
Hawaii,"1,254",116,21,9.2,1.6,2006
Idaho,"1,472",141,26,9.5,1.8,2006
Illinois,"12,63","1,338",140,10.6,1.2,2006
Indiana,"6,334",674,97,10.6,1.5,2006
Iowa,"2,913",301,54,10.3,1.8,2006
Kansas,"2,719",349,56,12.8,2.1,2006
Kentucky,"4,106",690,92,16.8,2.3,2006
Louisiana,"4,206",713,94,17.0,2.3,2006
Maine,"1,313",134,26,10.2,2.0,2006
Maryland,"5,607",469,84,8.4,1.5,2006
Massachusetts,"6,324",758,100,12.0,1.6,2006
Michigan,"9,953","1,323",133,13.3,1.3,2006
Minnesota,"5,145",422,77,8.2,1.5,2006
Mississippi,"2,887",596,69,20.6,2.5,2006
Missouri,"5,797",659,95,11.4,1.6,2006
Montana,930,125,20,13.5,2.1,2006
Nebraska,"1,765",180,33,10.2,1.8,2006
Nevada,"2,53",241,46,9.5,1.8,2006
New Hampshire,"1,308",71,18,5.4,1.3,2006
New Jersey,"8,65",762,105,8.8,1.2,2006
New Mexico,"1,939",328,48,16.9,2.5,2006
New York,"19,02","2,668",196,14.0,1.0,2006
North Carolina,"8,847","1,225",130,13.8,1.5,2006
North Dakota,615,70,12,11.4,2.0,2006
Ohio,"11,3","1,371",137,12.1,1.2,2006
Oklahoma,"3,489",531,77,15.2,2.1,2006
Oregon,"3,705",439,74,11.8,2.0,2006
Pennsylvania,"12,33","1,397",138,11.3,1.2,2006
Rhode Island,"1,054",110,21,10.5,2.0,2006
South Carolina,"4,224",474,81,11.2,2.0,2006
South Dakota,770,82,13,10.7,1.8,2006
Tennessee,"5,916",879,107,14.9,1.8,2006
Texas,"23,21","3,816",242,16.4,1.0,2006
Utah,"2,536",235,41,9.3,1.6,2006
Vermont,618,48,10,7.8,1.8,2006
Virginia,"7,532",651,95,8.6,1.3,2006
Washington,"6,31",502,87,8.0,1.3,2006
West Virginia,"1,81",277,36,15.3,2.0,2006
Wisconsin,"5,471",555,89,10.1,1.6,2006
Wyoming,516,51,10,10.0,2.0,2006
Alabama,"4,501",750,97,16.7,2.1,2005
Alaska,657,66,12,10.0,1.8,2005
Arizona,"6,025",917,117,15.2,2.0,2005
Arkansas,"2,756",382,56,13.8,2.1,2005
California,"35,84","4,716",270,13.2,0.8,2005
Colorado,"4,629",530,90,11.4,2.0,2005
Connecticut,"3,483",326,61,9.3,1.8,2005
Delaware,842,78,15,9.2,1.8,2005
District of Columbia,539,115,15,21.3,2.8,2005
Florida,"17,85","1,975",168,11.1,1.0,2005
Georgia,"9,014","1,298",132,14.4,1.5,2005
Hawaii,"1,274",110,20,8.6,1.6,2005
Idaho,"1,441",143,26,9.9,1.8,2005
Illinois,"12,57","1,441",143,11.5,1.2,2005
Indiana,"6,131",774,102,12.6,1.6,2005
Iowa,"2,902",327,56,11.3,2.0,2005
Kansas,"2,693",337,56,12.5,2.1,2005
Kentucky,"4,049",599,87,14.8,2.1,2005
Louisiana,"4,086",748,95,18.3,2.3,2005
Maine,"1,314",166,28,12.6,2.1,2005
Maryland,"5,56",542,89,9.7,1.6,2005
Massachusetts,"6,318",641,94,10.1,1.5,2005
Michigan,"9,964","1,196",128,12.0,1.3,2005
Minnesota,"5,113",412,76,8.1,1.5,2005
Mississippi,"2,843",571,67,20.1,2.5,2005
Missouri,"5,697",659,95,11.6,1.6,2005
Montana,926,128,20,13.8,2.1,2005
Nebraska,"1,76",167,31,9.5,1.8,2005
Nevada,"2,447",260,48,10.6,2.0,2005
New Hampshire,"1,298",73,18,5.6,1.5,2005
New Jersey,"8,692",592,94,6.8,1.2,2005
New Mexico,"1,938",347,48,17.9,2.5,2005
New York,19,"2,76",199,14.5,1.0,2005
North Carolina,"8,538","1,115",123,13.1,1.5,2005
North Dakota,625,70,12,11.2,2.0,2005
Ohio,"11,31","1,392",138,12.3,1.2,2005
Oklahoma,"3,486",543,77,15.6,2.3,2005
Oregon,"3,619",436,74,12.0,2.1,2005
Pennsylvania,"12,24","1,372",138,11.2,1.2,2005
Rhode Island,"1,052",127,21,12.1,2.1,2005
South Carolina,"4,164",626,90,15.0,2.1,2005
South Dakota,765,90,13,11.8,1.8,2005
Tennessee,"5,853",872,107,14.9,1.8,2005
Texas,"22,78","3,681",237,16.2,1.0,2005
Utah,"2,521",232,39,9.2,1.6,2005
Vermont,621,47,10,7.6,1.6,2005
Virginia,"7,442",684,99,9.2,1.3,2005
Washington,"6,237",636,97,10.2,1.5,2005
West Virginia,"1,795",276,36,15.4,2.0,2005
Wisconsin,"5,44",553,89,10.2,1.6,2005
Wyoming,509,54,10,10.6,2.0,2005
